Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2024,Inter-Bank Exchange Rate - End Period (GHC/EURO),13.0547,13.5234,13.9031,14.19,15.3345,15.627,16.1065,16.7828,17.6108,17.6992,16.1291,15.2141
2024,Inter-Bank Exchange Rate - Month Average (GHC/EURO),13.0043,13.1954,13.7771,13.9789,14.9112,15.4238,15.991,16.6476,17.2748,17.4202,16.9783,15.4741
2023,Inter-Bank Exchange Rate - End Period (GHC/US$),10.7997,11.0135,11.0137,10.9516,10.9715,10.9972,11.0034,11.0192,11.1285,11.4963,11.6206,11.88
2023,Inter-Bank Exchange Rate - Month Average (GHC/US$),9.9094,10.8636,11.014,10.9456,10.9152,10.9836,11.002,11.0066,11.0629,11.3354,11.5494,11.6511
2023,Inter-Bank Exchange Rate - End Period (GHC/GBP),13.2863,13.3699,13.6218,13.7624,13.5888,13.9879,14.1482,13.9514,13.5935,13.9399,14.6821,15.1334
2023,Inter-Bank Exchange Rate - Month Average (GHC/GBP),12.1349,13.1331,13.3799,13.6285,13.6188,13.8797,14.1733,13.9804,13.713,13.8013,14.3567,14.7448
2023,Inter-Bank Exchange Rate - End Period (GHC/EURO),11.7262,11.7182,11.9657,12.0876,11.6978,12.0073,12.1272,11.9473,11.7774,12.1438,12.6756,13.1264
2023,Inter-Bank Exchange Rate - Month Average (GHC/EURO),10.6965,11.6347,11.8012,12.0083,11.8506,11.9082,12.1642,12.0017,11.813,11.974,12.4937,12.7118
2022,Inter-Bank Exchange Rate - End Period (GHC/US$),6.0236,6.6004,7.1122,7.1128,7.1441,7.2305,7.612,8.2325,9.6048,13.0086,13.1044,8.576
2022,Inter-Bank Exchange Rate - Month Average (GHC/US$),6.0104,6.3077,7.0465,7.1123,7.126,7.1908,7.3908,8.0588,8.7472,11.1671,13.073,10.0347
2022,Inter-Bank Exchange Rate - End Period (GHC/GBP),8.0882,8.8568,9.3515,8.9333,9.0041,8.8043,9.2642,9.5872,10.7017,14.9541,15.6919,10.3118
2022,Inter-Bank Exchange Rate - Month Average (GHC/GBP),8.1501,8.5369,9.2829,9.1894,8.8663,8.8565,8.8682,9.6484,9.888,12.6356,15.3598,12.2393
2022,Inter-Bank Exchange Rate - End Period (GHC/EURO),6.7506,7.41,7.8986,7.4963,7.665,7.5797,7.7658,8.2909,9.4147,12.861,13.5813,9.1457
2022,Inter-Bank Exchange Rate - Month Average (GHC/EURO),6.8038,7.1531,7.7712,7.6843,7.544,7.5976,7.5283,8.158,8.651,10.996,13.3484,10.6176
2021,Inter-Bank Exchange Rate - End Period (GHC/US$),5.7604,5.7374,5.7288,5.7322,5.7473,5.7626,5.8011,5.8517,5.8663,5.9009,5.9172,6.0061
2021,Inter-Bank Exchange Rate - Month Average (GHC/US$),5.7608,5.7575,5.7275,5.7308,5.7333,5.7524,5.7848,5.8264,5.8592,5.8817,5.907,5.9469
2021,Inter-Bank Exchange Rate - End Period (GHC/GBP),7.8996,7.9945,7.8717,7.9222,8.1672,7.959,8.0633,8.0482,7.914,8.0816,7.9054,8.1272
2021,Inter-Bank Exchange Rate - Month Average (GHC/GBP),7.8542,7.9828,7.9365,7.9329,8.0839,8.0673,7.9926,8.0355,8.0491,8.0553,7.9464,7.9145
2021,Inter-Bank Exchange Rate - End Period (GHC/EURO),6.9929,6.9545,6.7122,6.8958,7.0268,6.8333,6.8808,6.9068,6.7952,6.8231,6.7346,6.8281
2021,Inter-Bank Exchange Rate - Month Average (GHC/EURO),7.0048,6.963,6.8143,6.8676,6.9706,6.931,6.8414,6.8542,6.8973,6.8229,6.7409,6.7231
2020,Inter-Bank Exchange Rate - End Period (GHC/US$),5.4672,5.2949,5.4423,5.601,5.6203,5.6674,5.6782,5.6848,5.7027,5.71,5.7139,5.7602
2020,Inter-Bank Exchange Rate - Month Average (GHC/US$),5.5275,5.3194,5.3565,5.5151,5.6109,5.6427,5.6724,5.6815,5.6971,5.7054,5.712,5.7209
2020,Inter-Bank Exchange Rate - End Period (GHC/GBP),7.1924,6.7881,6.7583,7.0584,6.9186,7.0038,7.405,7.5997,7.3585,7.3913,7.6426,7.8742
2020,Inter-Bank Exchange Rate - Month Average (GHC/GBP),7.2204,6.8954,6.6142,6.8451,6.9,7.066,7.1854,7.4652,7.3846,7.4076,7.5457,7.6876
2020,Inter-Bank Exchange Rate - End Period (GHC/EURO),6.0476,5.8048,5.9752,6.1276,6.2406,6.3613,6.6944,6.7916,6.6786,6.6703,6.8559,7.0643
2020,Inter-Bank Exchange Rate - Month Average (GHC/EURO),6.1303,5.8017,5.9123,5.9942,6.1157,6.3529,6.4999,6.7248,6.7155,6.7162,6.7606,6.9655
2019,Inter-Bank Exchange Rate - End Period (GHC/US$),4.9506,5.1752,5.0834,5.0881,5.2011,5.259,5.257,5.2814,5.3161,5.3372,5.5254,5.5337
2019,Inter-Bank Exchange Rate - Month Average (GHC/US$),4.8947,5.0162,5.1797,5.0864,5.1083,5.2402,5.256,5.2712,5.3067,5.3235,5.3888,5.5377
2019,Inter-Bank Exchange Rate - End Period (GHC/GBP),6.5121,6.8704,6.6166,6.6297,6.5641,6.6787,6.4267,6.4296,6.5412,6.901,7.1322,7.3164
2019,Inter-Bank Exchange Rate - Month Average (GHC/GBP),6.3142,6.5237,6.8237,6.6289,6.5582,6.6423,6.5538,6.4084,6.5527,6.7345,6.9414,7.261
2019,Inter-Bank Exchange Rate - End Period (GHC/EURO),5.6824,5.8799,5.7084,5.7002,5.7974,5.9832,5.8529,5.8095,5.7956,5.9445,6.0785,6.2114
2019,Inter-Bank Exchange Rate - Month Average (GHC/EURO),5.5868,5.6913,5.8537,5.7146,5.7162,5.9208,5.8944,5.8599,5.8417,5.8847,5.9529,6.1564
2025,Inter-Bank Exchange Rate - End Period (GHC/US$),15.3,15.53,15.53,14.15,10.28,10.31,10.5,11.4,12.42,,,
2025,Inter-Bank Exchange Rate - Month Average (GHC/US$),14.972,15.486,15.5316,15.2216,12.0751,10.284,10.417,10.7876,12.1443,,,
2025,Inter-Bank Exchange Rate - End Period (GHC/GBP),19.0003,19.5484,20.0951,18.8769,13.8529,14.1252,13.8942,15.3997,16.7031,,,
2025,Inter-Bank Exchange Rate - Month Average (GHC/GBP),18.4715,19.4277,20.0561,19.9847,16.1309,13.9554,14.0523,14.5172,16.4022,,,
2025,Inter-Bank Exchange Rate - End Period (GHC/EURO),15.9012,16.1524,16.8068,16.064,11.6675,12.1138,12.015,13.336,14.5859,,,
2025,Inter-Bank Exchange Rate - Month Average (GHC/EURO),15.5062,16.1333,16.7911,17.0884,13.6077,11.8639,12.1583,12.5671,14.2516,,,
2024,Inter-Bank Exchange Rate - End Period (GHC/US$),12.0356,12.4642,12.877,13.2739,14.1301,14.586,14.9009,15.1899,15.8,16.3,15.27,14.7
2024,Inter-Bank Exchange Rate - Month Average (GHC/US$),11.9344,12.2301,12.6674,13.0381,13.7823,14.3298,14.7467,15.1037,15.5575,15.9889,15.9834,14.7805
2024,Inter-Bank Exchange Rate - End Period (GHC/GBP),15.3027,15.8022,16.2617,16.6243,17.9996,18.4375,19.1305,19.9261,21.1823,20.97,19.3952,18.4008
2024,Inter-Bank Exchange Rate - Month Average (GHC/GBP),15.1566,15.4398,16.1056,16.3112,17.4317,18.2184,18.9671,19.5605,20.5562,20.8576,20.3689,18.6876
